post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:product_range,tax:product_color,attribute:pa_brand,attribute_data:pa_brand
"Circular Saw",circular-saw,,311,"Elevate your workshop with the Ingco Circular Saw, a robust addition to your Power Tools collection. Engineered for precision and power, this Ingco Circular Saw boasts a potent 1800W motor, effortlessly tackling wood and various materials with ease. Achieve professional-grade results with its easily adjustable cutting depth and versatile 0-45° bevel capacity. Designed for superior control, it features an ergonomic grip and a durable aluminium base for stability and comfort during extended use. Whether for DIY projects or demanding professional tasks, trust Ingco for reliable performance and accurate cuts every time. Power up your potential with Ingco.","Circular Saw",publish,,0,"2026-01-24 04:28:25",1,open,CS18528,,,no,no,'-1,1750,,6,35.3,25.8,27.5,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CS18528-33.jpg ! alt :  ! title : Circular Saw ! desc :  ! caption : ",,http://belims-headless.local/product/circular-saw/,0,,Ingco,simple,featured|outofstock,"Tools and Machinery > Power Tools|Tools and Machinery > Power Tools > Saws|Tools and Machinery",,,Skillcraft,,Ingco,0|1|0
"20V Lithium-Ion Glue Gun",20v-lithium-ion-glue-gun,,313,"Unleash cordless power and precision with the Ingco 20V Lithium-Ion Glue Gun. Engineered for efficiency, this robust glue gun features rapid heat-up technology, ensuring you're ready for any task in moments. Its powerful 20V Lithium-Ion battery provides lasting performance and ultimate portability, perfect for DIY projects, crafts, and quick repairs without being tethered to an outlet. The ergonomic design ensures comfortable, accurate application, making it an indispensable tool for every professional and enthusiast. Trust Ingco for reliable, powerful solutions. Elevate your workmanship today.","20V Lithium-Ion Glue Gun",publish,,0,"2026-01-24 04:28:26",1,open,CGGLI2001,,,no,no,91,420,,0.51,21.8,30.7,5.3,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CGGLI2001-33.jpg ! alt :  ! title : 20V Lithium-Ion Glue Gun ! desc :  ! caption : ",,http://belims-headless.local/product/20v-lithium-ion-glue-gun/,0,,Ingco,simple,,Uncategorized,,,Skillcraft,,Ingco,0|1|0
"Angle Grinder",angle-grinder,,315,"Unleash precision and power with the Ingco Angle Grinder, your essential partner for demanding tasks. Engineered for superior performance, this robust power tool effortlessly tackles tough cutting, grinding, and metalwork projects. Experience unmatched durability and reliable operation, ensuring efficiency on every job.

The Ingco Angle Grinder combines a powerful motor with an ergonomic design for comfortable handling and ultimate control, boosting productivity for both professional tradespeople and serious DIYers. Elevate your toolkit with Ingco's trusted quality and achieve professional-grade results consistently. Invest in power; invest in Ingco Grinders.","Angle Grinder",publish,,0,"2026-01-24 04:28:27",1,open,AG24008,,,no,no,8,1799,,7,52.2,16.7,11.5,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/AG24008-33.jpg ! alt :  ! title : Angle Grinder ! desc :  ! caption : ",,http://belims-headless.local/product/angle-grinder/,0,,Ingco,simple,,"Tools and Machinery > Power Tools > Grinders|Tools and Machinery > Power Tools|Tools and Machinery",,,Skillcraft,,Ingco,0|1|0
"20V Lithium-Ion Jigsaw",20v-lithium-ion-jigsaw,,317,"Unleash cordless power with the Ingco 20V Lithium-Ion Jigsaw, your essential power tool for precision cutting. Engineered for both DIY enthusiasts and seasoned professionals, this robust jigsaw delivers unparalleled freedom and consistent performance for intricate curves and straight cuts.

Experience long-lasting operation thanks to its powerful Lithium-Ion battery, ensuring you complete projects without interruption. Its ergonomic design provides superior comfort and control, while features like variable speed and rapid blade changes optimize efficiency. Perfect for wood, metal, and plastics, the Ingco 20V Cordless Jigsaw empowers you to achieve flawless results with every task. Elevate your craftsmanship; choose Ingco for reliable, powerful cutting.","20V Lithium-Ion Jigsaw",publish,,0,"2026-01-24 04:28:28",1,open,CJSLI8501,,,no,no,85,1449,,1.84,24.5,21.5,8,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CJSLI8501-33.jpg ! alt :  ! title : 20V Lithium-Ion Jigsaw ! desc :  ! caption : ",,http://belims-headless.local/product/20v-lithium-ion-jigsaw/,0,,Ingco,simple,,"Tools and Machinery > Power Tools|Tools and Machinery > Power Tools > Saws|Tools and Machinery",,,Skillcraft,,Ingco,0|1|0
"Gasoline Grass Trimmer And Bush Cutter",gasoline-grass-trimmer-and-bush-cutter,,340,,"Gasoline Grass Trimmer And Bush Cutter",publish,,0,"2026-01-25 20:00:53",1,open,GBC5524411,,,no,no,3,3450,,11,186,29.5,20.5,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/GBC5524411-26.jpg ! alt :  ! title : Gasoline Grass Trimmer And Bush Cutter ! desc :  ! caption : ",,http://belims-headless.local/product/gasoline-grass-trimmer-and-bush-cutter/,0,,Ingco,simple,,Uncategorized,,,Skillcraft,,,
"High Pressure Washer",high-pressure-washer,,351,,"High Pressure Washer",publish,,0,"2026-01-25 20:28:48",1,open,HPWR14008,,,no,no,0,1799,,6,26.5,23,48,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HPWR14008-15.jpg ! alt :  ! title : High Pressure Washer ! desc :  ! caption : ",,http://belims-headless.local/product/high-pressure-washer/,0,,Ingco,simple,outofstock,"Tools and Machinery > Machinery|Tools and Machinery > Machinery > Pressure Washer|Tools and Machinery",,,Skillcraft,,,
"Impact Drill",impact-drill,,353,,"Impact Drill",publish,,0,"2026-01-25 20:28:50",1,open,ID11008,,,no,no,15,1150,,3.04,33.5,26.5,8,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/ID11008-15.jpg ! alt :  ! title : Impact Drill ! desc :  ! caption : ",,http://belims-headless.local/product/impact-drill/,0,,Ingco,simple,,"Tools and Machinery > Power Tools > Drills|Tools and Machinery > Power Tools|Tools and Machinery",,,Skillcraft,,,
"Impact Drill",impact-drill-2,,355,,"Impact Drill",publish,,0,"2026-01-25 20:28:51",1,open,ID6808,,,no,no,49,448.99,,2.1,28,6.9,25,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/ID6808-15.jpg ! alt :  ! title : Impact Drill ! desc :  ! caption : ",,http://belims-headless.local/product/impact-drill-2/,0,,Ingco,simple,,"Tools and Machinery > Power Tools > Drills|Tools and Machinery > Power Tools|Tools and Machinery",,,Skillcraft,,,
"Electric Planer",electric-planer,,357,,"Electric Planer",publish,,0,"2026-01-25 20:28:53",1,open,PL10508,,,no,no,12,1999,,4.7,30.2,21.7,20,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/PL10508-15.jpg ! alt :  ! title : Electric Planer ! desc :  ! caption : ",,http://belims-headless.local/product/electric-planer/,0,,Ingco,simple,,"Tools and Machinery > Power Tools > Planers|Tools and Machinery > Power Tools|Tools and Machinery",,,Skillcraft,,,
"Gasoline Chain Saw",gasoline-chain-saw,,359,,"Gasoline Chain Saw",publish,,0,"2026-01-25 20:28:54",1,open,GCS5451811,,,no,no,'-26,2995,,,51.5,23.5,28,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/GCS5451811-15.jpg ! alt :  ! title : Gasoline Chain Saw ! desc :  ! caption : ",,http://belims-headless.local/product/gasoline-chain-saw/,0,,Ingco,simple,outofstock,Uncategorized,,,Skillcraft,,,
